date,flow_momentum_v2_score,flow_exhaustion_score,reversal_probability
2025-04-09,67.56327538393465,12.413745315234587,79.57706296443311
2025-04-10,58.45810596983779,10.884529789695332,76.85252451411792
2025-04-11,53.48482403504404,5.823384713049962,77.89989878618763
2025-04-14,47.47181861502612,8.381078358484526,73.96008043091973
2025-04-15,45.3747536027651,6.105711303406619,74.48647465906205
2025-04-16,45.23005635199106,5.571593781968821,74.74906627161513
2025-04-17,46.398578324728334,10.20970095531796,72.43361075670056
2025-04-21,44.091289244252025,14.397456053531323,68.99804206558201
2025-04-22,49.85761488811057,5.889837563203252,76.40914341732227
2025-04-23,53.40421643436336,7.527313125337528,76.84529869854282
2025-04-24,54.88870443367945,9.189498369532622,76.4417827517522
2025-04-25,58.533307341499864,6.247269276002894,79.66496137099821
2025-04-28,61.507847300009274,8.240889460952,79.6586052434325
2025-04-29,57.68302395954244,8.283139403843268,78.10332594151102
2025-04-30,60.22242385834108,5.461276049128305,80.81220391385945
2025-05-02,62.53218044857705,5.561358110679793,81.67605731302294
2025-05-05,60.41741290696621,5.031646798563902,81.14797708364814
2025-05-06,59.09918560542786,5.716204764062514,80.20995138373364
2025-05-07,59.1278754861139,7.458904132161356,79.17580771514875
2025-05-08,54.07115869623729,8.047497818731822,76.79996478725582
2025-05-09,49.45173814084628,8.551290808050224,74.64992077150838
2025-05-14,58.276828372356945,4.701231651839943,80.48999235783882
2025-05-15,64.05988499042272,5.714607255131457,82.19518964309022
2025-05-16,68.14836205183188,6.324022713949787,83.46493119236288
2025-05-19,74.40161527087966,7.98157225105727,84.97170275771751
2025-05-20,75.7211079331556,10.09375563917209,84.23218978975899
2025-05-21,66.2001953975473,5.629791900344321,83.10220301881233
2025-05-22,59.79830182350956,3.610174032174006,81.75321631009942
2025-05-23,56.18770750857016,2.478755849205639,80.98782949390468
2025-05-26,52.43249617138195,1.0279901119654182,80.35620440137353
2025-05-27,52.428538719338434,2.273971003187108,79.6070328858231
2025-05-28,54.14920043522278,5.819096028707083,78.16822255686486
